COMMUNITY,GENDER,P1_SCORE,P2_SCORE,P3_SCORE,TOTAL,REGNO,APPLICATION_NO
SCA,Female,103.25,96.25,87.5,287,6057A00AB1B80480B3FA47C658E5EC14,B6466E2B84F1B30DEDE9F25B2A4E1DE4
MBC/DC,MALE,150.75,119,116,385.75,88D94718C83C550996425A3EDDAC2CEB,A7E0950F94FA8BE7369FEAD667F072B5
BC,Male,131.75,123.5,114,369.25,73FBA642278B406B85B46B2F27B92380,8C662C70A206EC50F5E785BE5926998F
BC,Female,138.25,124,109.5,371.75,C895FF3D6DE473A1AE0A777E8888592F,4200636E121D3ECBFDFFD86BDBBF14AF
MBC/DC,Female,135.5,142,132.25,409.75,5C245E2FBE13E2017B7B600E90AC81CE,F8598F51E7BC45D0F0D45E2AFF7AFD65
BC,FEMALE,59.75,45,59,163.75,737ED504FEA3B3923CFE4C27F151A8AE,0C3169514918BDA23B8CCA66F9C7B167
BC,Male,143.75,117.75,103.75,365.25,A204069604E46BDD61E0673402953036,B6AEA727D65BFC4D508E475CAD05CAD4
BC,Female,142.75,133.75,129.75,406.25,9F620B188A4EE3FFC0205C628F2C6D60,EB258384BB20DA47A75715AEA4D40D44
BC,Male,113.5,78.25,75.25,267,850069D7E80B19C935E5F947F10F9582,362CBFDA1691BF71E33EBCE48B41FBEF
SCA,Female,99.75,88.5,84.5,272.75,F59E9C09856274498DBEFC1FD8B9B17F,64B585D6A35EC97DC30CAA0442E946F2
MBC/DC,FEMALE,148.75,130.5,136.25,415.5,1DCE140F5569F886D558C451424A4395,62D3C2AB00832A3657F6A400032182F4
BC,FEMALE,157,100.25,101.25,358.5,4C4ADBFC9BB9D4AE6B4DFFAD2AA048E3,2D6BD503C250D5C96DA218EE1CB729E2
BC,FEMALE,86.25,80,52,218.25,3C59CF5D6DB2A0F09579E62F9F770764,0E336D4E99863048FDD99739ACE54FFA
BC,Female,144.25,116.75,116.75,377.75,E2E79BF82A36F633F2470645FD0262D6,FA5B6D3DFFCCCDD8C274C6D2823EB939
BC,Male,124.75,104.25,102.5,331.5,4239063ECE2316089DB3B3447C753485,439EEDF41EA1C3C5863BA55A8BED5F6E
SCA,Female,65.5,37,15.5,118,97455C2F7B427AE6E09AD9E914C4B4B2,C6DA84DA99A7EBF59D08A71F544E0563
SC,Female,103.5,88.5,96,288,1AB6CF522A9798925D02CB74A3755392,A2C8F550970462816F9352ED11E5781D
SC,Female,114.75,94,88.5,297.25,B7DF1428D85C28FF02D475689BE90FFF,C192E9EB32EC54D1EF2B7020A5E8C417
ST,FEMALE,154.5,118,123.5,396,646119EEF4F41618378BC30FC5B9A87E,3CE09EB1EBC2F7132EF5AF70DA39FB27
BC,Female,130.75,102.75,102,335.5,9EA742CFECC2290162D2B46E77AF3216,6FCE6EF908CDDFB4DF8E1B5E429B47AA
BC,Female,147.25,129.75,108.5,385.5,6BA40C5DFB79D98939B0A57E2E4411D2,838358FAEE722D2D6D826A9CC6803AFD
SCA,Female,134.25,121.25,120,375.5,36FF878133B4022B28DBA4A97305D0F8,9391A1FDE81C7C737319ED55CCB20739
MBC/DC,Male,139,102.75,115.75,357.5,9AAEBB190B790576FCFA805E78C9BEC0,745DDF4AB8BD4CD8DAB694175E1C4E8C
BC,Female,145.5,108,121.75,375.25,A43707B52B3AC1C04AC5B2697B4A0D7F,9B172862E0D09BCF11503693666665E5
BC,Male,123.5,105.75,111.75,341,8F0AE652100C8CA1539F43776505A86D,75956ACD420EE7D213AF3AD49755BF66
MBC/DC,Female,108,103.5,120.5,332,7407DB52C4719E2CAA49A4AA4AD13DC7,ED78F1B8953DF6AA9E39AF41579482F2
SC,Male,41.25,,,41.25,4950832E3CA51DF9A7A35B050B38C412,AC1CAFF943DAECDFBEE6DAC7135EAD10
MBC/DC,Female,145.25,119.25,127,391.5,2DF65160A7CB828CB2DC04447DDE49E9,1731DFABD730318F38F14DBE3815FED6
BC,Male,168,126.75,133,427.75,82CB1C1AB2312AB7253C3DDA65CD8B2E,2D83CCD958DD3DB0A271AA39A1A3F8D3
MBC/DC,Male,84.5,77.25,81,242.75,7B5D1CA5D2EAAE77B662455B3F9537F0,5A6757D62A1F6C15959581CAF6CF128B
SC,Female,92.75,79.75,38.5,211,17C30DB01155FF2DD7CBEFFDC5C26D18,BDB004A96526D4D3513E256F06ADA1A4
BC,Male,126.25,126,122.75,375,230000C275D652AAC34F6E1BD4644BCB,761C0AD4DA4CA0E8C53B02D788CD5938
MBC/DC,Male,100.5,94.25,89,283.75,5D406ED65FE7F29EDC6288C4D2D2570E,38904826C875C661D7A59278FEDDDA0E
MBC/DC,Male,70,82,82.5,234.5,7EFB24365826B3CF6CFEF52F61C6D8A7,FF9E8A0B5B5AB74AC438FBB4A24BF5A8
MBC/DC,Female,121.25,101.25,97.5,320,9387D34C17ABC22C766B9FED36B0633D,DF69AA8C35A360A26F19C11A329F3341
BC,Female,148,109.5,101.75,359.25,54E6E1DBE5BD79F21AB4B77E7B79D3C2,7A44A4AE51C11C66630D6B9F0BCC8121
BC,Male,132.25,128.75,113.75,374.75,119D8867F37AC9AC922CFDB96E239675,B1FB3E21714DFCC7ED0E581692DDC6EB
BC,Female,127.25,107,103,337.25,BD2EF17EC76D6C2D911DEDC5EB397B5B,7904FF24DD0EBB8153EE5D92946FE51D
BC,Male,120.5,78.75,83.5,282.75,E9C521B0466F3ECA10257E02A5021CAF,1C3EC490FBFF29A874262CF817407DB6
SC,Male,142.5,137,123,402.5,7A09EAE461E2EF88A69659A6B063673B,BB1A55EA189E9554AE71BA894F9D7B41
MBC/DC,Male,137,95.5,109.5,342,E61FB6512F5BFB48D9E8166F4A596A6B,6A93EB00FE3D04960A3E0F817D92732A
SC,Female,137.25,112.5,113,362.75,401F898D4954F30F1E3D5E10C2067C5B,6F55D845E2324439DE1DF10C19ECC2F1
BCM,Female,130.25,105.5,121.75,357.5,076679C59F4C00E335456C50DE73C88F,FCF49CFF5EF9E4EE13B157FA4D8315C0
BC,Male,115.5,97.25,112.25,325,93C9171AC67F3D5CD8E50308FE14566A,CA2A0796047A6C51523B2365A47F8C21
BC,Male,144.75,126.75,113.75,385.25,CB5D038E6311FDEBFABC5E5113B90E47,AAD4F299428C09888FEEF24157B396C0
BC,Male,160.75,128.25,118,407,BDC2E2FD1C1D4D0B3C3EAEFAD6BBDB79,751020CF4CDC4EDF8050F7E9366DEBA9
MBC/DC,Male,95.75,91.25,84,271,300AA96E3FE60CA752F7D8676980A69E,817AAAD845A30561016C5C7557EEA03A
SC,Male,66.25,74.5,62,202.75,4C8A280A249BCB6D0993819F97B786A3,54EAF47A347B54EB96FBA72F8B3C0808
BC,Male,161,130.25,116.25,407.5,CD2C4A77B70EE245525784383B2EF8FB,CDE0F813FF8AD1280E5192B0055999F4
BC,Male,91,93.5,86.75,271.25,996AA515A83AE9AF7E294E51435E09D4,A82777A2340FF64AFEAFEC30F803E356
MBC/DC,FEMALE,143.5,120,107.25,370.75,F8317129AEFCB088152E7B663D6B7C46,B5CCA555777A6966B55026C5A0B5CD9B
BC,Male,105.75,71.5,95.5,272.75,4639B2FC6DBA3FD04DA8CA5D1E092BFF,EB3FEFF52719AF10CBFB030DF3ECFCEA
BC,Male,130.75,105.25,110,346,903D8E8984CE6387177972E31737D616,0428DFA6E393F2DF32296AE0E74E693E
MBC/DC,Female,137.25,132.5,116.75,386.5,E93ADC7620DD4A0C2E82F3D6F72E8626,0EA4797601512C389164FC432484FA2E
ST,Female,124.75,111.25,85.5,321.5,64D90AAB76EC4ED1F722581A16FDADB9,1BBAEAAD23C19D55294FF5F374873062
BC,Male,95.5,74,64.25,233.75,54A479E9C91ACF9720847C85DE1589DF,6A86873352F4FEBCDA77AC237089B10E
BC,Male,123.5,72.25,57.5,253.25,017A8BE1B431FEE81EB739370770B9B9,A00DA9458D228F42599F4335C23AEDAB
